B2,B3,B4,B8,rh98,region
0.0275,0.0484,0.0261,0.3048,11.569999694824219,WesternGhats
0.0625,0.0914,0.0982,0.2887,2.4700000286102295,WesternGhats
0.05395,0.0803,0.0736,0.2585,12.989999771118164,WesternGhats
0.0272,0.0501,0.0284,0.2796,4.559999942779541,WesternGhats
0.03235,0.05325,0.03515,0.2364,21.979999542236328,WesternGhats
0.02755,0.0473,0.03015,0.28285,24.610001,WesternGhats
0.0415,0.0659,0.0557,0.2864,8.119999885559082,WesternGhats
0.0285,0.0513,0.0293,0.2586,4.300000190734863,WesternGhats
0.0279,0.0506,0.0301,0.255,22.510000228881836,WesternGhats
0.0283,0.0469,0.028,0.2659,19.850000381469727,WesternGhats
0.0323,0.0553,0.033,0.2827,25.020000457763672,WesternGhats
0.0338,0.0517,0.0332,0.3259,12.619999885559082,WesternGhats
0.03225,0.05785,0.0348,0.31395,18.870001,WesternGhats
0.0284,0.0542,0.0313,0.2905,17.40999984741211,WesternGhats
0.02845,0.04485,0.0281,0.24615,25.40999984741211,WesternGhats
0.0253,0.04295,0.0278,0.2622,25.790001,WesternGhats
0.0325,0.0498,0.0364,0.2409,17.399999618530273,WesternGhats
0.0281,0.0448,0.0305,0.2451,20.920000076293945,WesternGhats
0.0369,0.0583,0.0515,0.2691,21.530001,WesternGhats
0.03135,0.0482,0.038,0.23475,29.379999,WesternGhats
0.0294,0.0485,0.0276,0.283,20.0,WesternGhats
0.0323,0.0522,0.0315,0.2567,5.199999809265137,WesternGhats
0.0269,0.041,0.0267,0.2295,18.5,WesternGhats
0.0277,0.0445,0.0261,0.2518,26.549999,WesternGhats
0.0269,0.0402,0.0267,0.2275,22.360001,WesternGhats
0.0268,0.043,0.0255,0.2583,33.450001,WesternGhats
0.02775,0.04115,0.0248,0.22105,25.09000015258789,WesternGhats
0.0326,0.0485,0.0297,0.2757,24.790001,WesternGhats
0.03005,0.0497,0.0358,0.2658,31.950001,WesternGhats
0.03135,0.04785,0.02905,0.24655,24.309999,WesternGhats
0.02595,0.0412,0.02565,0.21815,23.219999,WesternGhats
0.03926667,0.0662,0.0481,0.30375,4.96999979019165,WesternGhats
0.028216667,0.04695,0.03095,0.2273,22.280001,WesternGhats
0.0526,0.0611,0.0521,0.25415,14.40999984741211,WesternGhats
0.03035,0.049,0.0441,0.22596666,13.420000076293945,WesternGhats
0.0377,0.0619,0.052366666,0.2973,8.859999656677246,WesternGhats
0.028,0.0475,0.031,0.282,17.420000076293945,WesternGhats
0.08956667,0.1367,0.18705,0.2781,3.359999895095825,WesternGhats
0.031,0.05405,0.03445,0.25861666,4.260000228881836,WesternGhats
0.03015,0.052066665,0.033875,0.2899,5.71999979019165,WesternGhats
0.03325,0.056333333,0.04275,0.28015,12.75,WesternGhats
0.0588,0.0897,0.09836667,0.2289,2.430000066757202,WesternGhats
0.0288,0.0503,0.03505,0.28905,14.729999542236328,WesternGhats
0.0336,0.0538,0.034,0.2938,5.909999847412109,WesternGhats
0.0281,0.04435,0.03,0.23445,12.510000228881836,WesternGhats
0.0324,0.0526,0.043,0.2391,17.110001,WesternGhats
0.0361,0.0502,0.049,0.1833,7.409999847412109,WesternGhats
0.05615,0.0693,0.0696,0.19195,15.050000190734863,WesternGhats
0.044,0.0698,0.04225,0.3557,17.68000030517578,WesternGhats
0.0347,0.0581,0.0337,0.35455,9.550000190734863,WesternGhats
0.0304,0.0522,0.0302,0.3049,32.330002,WesternGhats
0.03165,0.0502,0.0326,0.27595,18.020000457763672,WesternGhats
0.0335,0.0513,0.0405,0.2687,14.15999984741211,WesternGhats
0.029,0.042,0.0282,0.2137,37.15999984741211,WesternGhats
0.0271,0.04615,0.0287,0.2425,27.049999,WesternGhats
0.0428,0.0672,0.0665,0.26,6.099999904632568,WesternGhats
0.0413,0.0631,0.0594,0.2493,5.239999771118164,WesternGhats
0.03735,0.0621,0.0491,0.29305,9.25,WesternGhats
0.024,0.04535,0.02335,0.27345,18.309999,WesternGhats
0.0309,0.0506,0.0393,0.2458,9.850000381469727,WesternGhats
0.0458,0.0703,0.0737,0.2673,4.119999885559082,WesternGhats
0.0481,0.0765,0.0813,0.2721,4.119999885559082,WesternGhats
0.0269,0.049,0.0301,0.2845,18.690001,WesternGhats
0.0452,0.0713,0.0742,0.2655,4.119999885559082,WesternGhats
0.0417,0.0661,0.0659,0.266,3.180000066757202,WesternGhats
0.038,0.0616,0.0474,0.30025,12.960000038146973,WesternGhats
0.0381,0.0638,0.0499,0.2996,9.920000076293945,WesternGhats
0.0283,0.049,0.0289,0.2566,19.780001,WesternGhats
0.07435,0.10865,0.11975,0.26535,2.319999933242798,WesternGhats
0.1142,0.1552,0.1782,0.341,10.779999732971191,WesternGhats
0.0841,0.1182,0.1239,0.3249,4.269999980926514,WesternGhats
0.026,0.0466,0.0263,0.2466,12.6899995803833,WesternGhats
0.03,0.0518,0.0312,0.273,9.510000228881836,WesternGhats
0.0277,0.0486,0.0293,0.2707,11.489999771118164,WesternGhats
0.0684,0.09815,0.1119,0.2603,2.430000066757202,WesternGhats
0.0696,0.1045,0.1191,0.2527,2.4700000286102295,WesternGhats
0.0247,0.049,0.0265,0.2772,21.15999984741211,WesternGhats
0.03065,0.05825,0.0338,0.33815,8.460000038146973,WesternGhats
0.0246,0.04365,0.02495,0.26705,21.979999542236328,WesternGhats
0.0275,0.0474,0.0289,0.2576,14.34000015258789,WesternGhats
0.0372,0.0636,0.0529,0.2772,4.869999885559082,WesternGhats
